month,revenue,expenses,subsidies_received,tax_paid,net_profit
2024-01-31,47045.9858986097,27476.125393858914,13705.139061845855,7050.192686754951,35877.598735649786
2024-02-29,51684.60976269614,34203.10013252276,16211.19027100983,9742.594594914488,30278.5492554281
2024-03-31,63175.975356079594,32733.667841006896,14927.413180827252,5308.040639506503,25069.93876305166
2024-04-30,39934.57434720359,28805.33950415153,12288.894417809615,8252.759159092824,32380.58960962185
2024-05-31,61398.785611290456,28165.877940926563,15973.07784516481,11877.85799811657,42199.055479161725
2024-06-30,63171.15067339865,28041.20925478089,11462.880626520593,5999.33735078885,25938.930028939412
2024-07-31,48819.314730089216,25387.94907750749,18563.038165384693,6644.510058950297,19203.765562634868
2024-08-31,28781.451009914053,38076.87844734721,13606.14810810482,9027.81569931783,35856.64535429578
2024-09-30,43921.780129055674,28388.3976539433,15603.478967618517,8359.163563879196,26036.950688371213
2024-10-31,62969.94546561109,36085.792604127484,15849.863614638427,8701.26019854712,9618.64363188771
2024-11-30,49771.319377011176,37606.58025961226,14223.285078887768,8978.374260295328,33779.37341720337
2024-12-31,40006.97767705089,34991.5544907398,16760.081404425822,9269.44293712354,22717.374512368617
